ticket_id,client_id,flight_id,class,luggage_weight,price
1,9775,1921,0,24.16,331.5
2,9598,178,1,27.09,3502.8
3,3358,35,2,30.62,593.1
4,7350,1076,1,23.53,2471.04
5,9296,1403,2,7.9,593.1
6,4500,534,2,3.88,190.8
7,9614,341,0,24.73,363.6
8,4801,1773,0,27.84,410.4
9,3048,363,0,32.08,343.8
10,6516,200,0,16.38,317.7
11,1810,1504,1,38.45,2471.04
12,7697,1593,2,17.71,3085.65
13,462,1856,2,30.67,4378.5
14,1395,623,1,8.17,265.32
15,6585,1314,1,25.39,3094.2
16,5782,1358,0,10.87,279.9
17,8796,929,0,14.36,1753.5
18,5454,676,0,7.63,2962.2
19,263,1913,1,2.64,3215.88
20,5554,1974,2,29.6,533.25
21,4028,1770,0,24.21,221.1
22,372,1046,2,17.68,419.85
23,8300,125,2,17.42,4019.85
24,2349,1731,0,13.19,317.7
25,7940,49,1,23.16,412.56
26,1218,932,2,2.82,615.6
27,2515,1759,2,36.61,4207.05
28,4936,995,0,23.64,2962.2
29,5742,1456,1,12.51,2008.08
30,7531,1901,2,11.85,419.85
31,4837,1442,0,8.62,435.3
32,4614,1591,2,34.25,287.55
33,1455,360,2,23.31,3191.85
34,5037,668,0,14.26,2804.7
35,7451,1821,1,5.06,3365.64
36,4474,235,0,30.33,279.9
37,8082,1277,0,27.72,2057.1
38,751,1622,2,0.68,3487.05
39,4021,881,1,30.27,2290.32
40,2909,889,2,17.47,3085.65
41,9534,356,2,37.12,645.3
42,1212,1754,2,3.56,3191.85
43,6985,1059,2,14.96,3980.7
44,3693,1902,2,23.23,2794.95
45,5929,1655,1,0.48,492.48
46,5987,168,0,21.97,410.4
47,1521,1019,0,39.63,103.2
48,6077,5,1,31.07,412.56
49,8321,1050,0,26.85,3045.6
50,3148,595,1,26.0,2235.96
51,5021,1232,2,27.37,545.4
52,1063,1233,1,32.59,2468.52
53,4165,1193,1,27.29,522.36
54,6661,1697,2,37.61,3980.7
55,8654,1056,2,17.79,3191.85
56,1752,1621,2,5.88,4888.8
57,6911,381,0,21.09,77.7
58,8390,1584,0,16.96,404.7
59,5302,395,2,14.81,476.55
60,2240,51,2,36.69,4568.4
61,9963,548,0,29.48,2057.1
62,8953,1645,0,22.22,2679.9
63,4672,1558,1,29.48,492.48
64,9277,687,2,13.38,652.95
65,8409,532,0,17.09,343.8
66,6938,1453,1,36.05,492.48
67,1058,246,1,8.64,436.32
68,6794,1038,2,7.4,2794.95
69,9865,440,1,3.77,3215.88
70,5629,1862,2,30.76,4888.8
71,6398,890,2,12.24,233.1
72,3240,748,0,20.4,279.9
73,8003,1515,2,11.28,4568.4
74,9898,753,2,13.15,2877.3
75,2971,1046,1,39.12,335.88
76,8948,1854,0,6.67,2962.2
77,5858,1189,1,36.14,2104.2
78,3012,1038,2,20.94,2794.95
79,2045,1429,1,37.9,436.32
80,1173,541,2,37.0,2997.0
81,8637,247,0,18.68,139.2
82,5576,78,0,38.53,143.7
83,8592,836,2,6.5,116.55
84,1848,237,1,33.14,230.04
85,2754,927,0,1.33,2092.2
86,6593,952,2,28.1,3085.65
87,7828,1909,2,17.2,154.8
88,8088,821,0,39.48,155.4
89,3647,636,1,37.37,2553.48
90,8588,442,0,30.66,1863.3
91,2018,234,1,15.63,345.24
92,8284,1064,2,6.47,533.25
93,9805,1356,2,4.9,154.8
94,1690,1752,1,39.06,172.44
95,4101,1742,2,31.82,593.1
96,3420,1383,1,8.99,522.36
97,6694,928,0,12.04,2872.8
98,8729,1587,1,23.53,186.48
99,5887,505,0,31.31,1998.0
100,8289,547,1,11.7,186.48
101,760,825,2,37.8,652.95
102,9919,1313,1,0.91,3184.56
103,2148,763,2,25.48,395.55
104,3173,507,2,29.18,4888.8
105,2149,1211,0,33.5,77.7
106,6607,231,0,22.92,1998.0
107,2163,1573,1,20.18,3365.64
108,2750,390,2,20.08,4888.8
109,5026,1866,2,10.45,533.25
110,8700,1396,1,39.5,316.44
111,2302,546,0,12.11,2962.2
112,8453,1611,2,31.79,3191.85
113,46,448,0,38.65,1863.3
114,4537,1221,2,38.11,395.55
115,9105,121,2,17.16,2630.25
116,2758,538,2,13.3,233.1
117,233,1563,1,14.38,3502.8
118,5580,1620,1,23.36,335.88
119,6985,1235,0,29.24,1753.5
120,8080,1441,1,18.49,492.48
121,448,1227,2,35.36,497.25
122,1240,1766,2,25.69,615.6
123,4769,1895,0,28.55,1918.2
124,4963,1369,2,9.14,607.05
125,9712,1249,1,28.63,2008.08
126,6846,1787,2,17.52,208.8
127,2043,261,1,7.53,381.24
128,2817,229,2,14.09,4019.85
129,9606,1939,1,39.74,492.48
130,7300,1148,1,19.68,3215.88
131,2305,150,0,21.73,435.3
132,6065,1248,2,35.47,607.05
133,9588,830,0,32.97,1918.2
134,4285,526,0,14.58,1673.4
135,8600,237,1,0.5,230.04
136,610,1207,0,2.71,343.8
137,9449,160,2,37.03,331.65
138,4853,1546,0,8.88,267.3
139,5293,438,0,33.55,317.7
140,5452,1599,2,39.45,400.95
141,3924,1250,1,3.23,2553.48
142,9387,1081,0,38.75,1673.4
143,6517,425,2,13.52,3487.05
144,486,995,0,2.94,2962.2
145,8106,584,2,24.5,400.95
146,6515,395,0,4.92,317.7
147,7171,305,1,1.02,412.56
148,3718,1000,0,5.53,430.2
149,2407,1482,0,2.11,2057.1
150,2245,1788,2,14.47,4888.8
151,7958,791,1,34.8,3365.64
152,2293,1987,1,38.29,265.32
153,2526,1384,0,18.58,2578.5
154,1102,1711,0,2.02,435.3
155,9676,520,2,15.95,419.85
156,1531,369,0,15.86,317.7
157,1192,1698,0,18.11,2962.2
158,3502,1139,2,5.56,4378.5
159,863,361,1,30.75,2008.08
160,7173,1991,1,32.99,186.48
161,2880,1487,1,36.2,3215.88
162,4433,378,1,4.33,123.84
163,7414,598,1,38.75,485.64
164,1849,1814,0,9.77,430.2
165,7822,966,0,27.66,2324.7
166,6094,1051,2,16.45,3867.75
167,2329,1957,2,5.88,2794.95
168,4649,1576,2,23.73,116.55
169,4666,1623,1,21.58,230.04
170,718,1407,0,24.83,155.4
171,6888,1798,1,23.21,3654.72
172,497,1919,1,0.51,516.24
173,1599,1006,1,0.67,2104.2
174,7113,653,2,32.42,645.3
175,4042,394,0,31.62,1753.5
176,4052,984,1,17.62,167.04
177,2856,1640,0,34.03,2919.0
178,7437,1401,1,27.45,397.8
179,1884,1387,0,36.15,2872.8
180,6394,1139,0,20.1,2919.0
181,1642,267,1,27.33,2720.16
182,278,1108,0,33.32,410.4
183,8343,868,0,37.6,2872.8
184,6570,1190,0,19.81,395.4
185,698,414,1,18.94,3447.36
186,2695,1121,2,22.92,190.8
187,9659,1060,1,22.3,474.48
188,3520,933,1,25.5,345.24
189,9467,563,1,30.12,3447.36
