ticket_id,class,luggage_weight,client_id,flight_id
1,2,36.0,666,436
2,1,7.3,710,591
3,1,13.0,478,635
4,2,26.6,39,912
5,0,27.9,725,995
6,0,31.1,734,574
7,1,4.9,7,744
8,1,25.9,393,496
9,0,18.0,710,39
10,1,30.5,940,851
11,1,4.8,950,313
12,0,26.5,848,637
13,0,5.4,132,931
14,0,30.0,968,895
15,0,33.2,886,231
16,1,34.7,44,948
17,2,29.7,56,437
18,1,9.6,427,743
19,2,22.5,874,275
20,1,12.1,679,147
21,0,37.0,921,721
22,1,11.5,242,743
23,0,2.9,418,329
24,2,34.9,71,703
25,0,4.9,718,564
26,2,21.9,809,438
27,2,14.7,802,670
28,1,1.0,866,194
29,1,1.6,701,739
30,0,26.2,740,711
31,0,8.1,367,724
32,1,35.4,605,548
33,1,16.6,919,987
34,2,12.8,985,872
35,2,3.4,628,920
36,0,35.3,23,223
37,2,0.1,547,917
38,0,6.5,621,468
39,2,22.3,519,910
40,0,33.6,558,531
41,0,34.3,609,369
42,1,12.7,175,829
43,1,21.3,890,270
44,0,33.2,942,335
45,0,18.6,928,112
46,1,9.6,707,927
47,0,22.2,311,788
48,2,22.1,581,935
49,0,7.1,768,136
50,2,1.8,601,563
51,1,13.0,315,886
52,2,10.6,367,780
53,2,34.3,170,207
54,1,1.5,801,14
55,0,35.2,79,843
56,2,3.2,985,801
57,2,16.7,379,637
58,0,14.9,777,250
59,1,38.3,896,965
60,2,18.8,54,42
61,2,33.4,45,7
62,0,22.7,74,851
63,0,6.4,770,845
64,2,7.5,51,706
65,1,32.2,33,514
66,2,22.2,800,615
67,1,8.9,455,931
68,0,0.9,203,211
69,2,22.3,802,699
70,1,3.0,169,363
71,1,20.9,655,513
72,0,34.6,96,633
73,1,23.3,630,788
74,0,23.4,632,992
75,2,11.1,285,749
76,1,27.1,690,23
77,1,13.9,827,692
78,2,25.4,410,40
79,1,10.5,30,166
80,1,35.2,453,666
81,0,28.6,861,174
82,0,38.2,8,2
83,1,14.4,415,94
84,1,29.7,925,816
85,2,20.9,116,809
86,0,14.5,908,406
87,1,11.5,109,724
88,1,36.2,264,424
89,2,15.8,26,2
90,2,29.2,48,92
91,2,17.0,369,4
92,2,31.7,394,311
93,0,37.9,478,228
94,2,20.3,269,174
95,0,3.5,55,100
96,2,6.6,140,831
97,2,29.5,722,751
98,2,22.2,852,794
99,1,8.7,695,942
100,2,19.6,709,891
101,2,1.8,373,163
102,2,6.1,698,753
103,0,29.9,516,349
104,2,23.6,549,866
105,2,33.4,765,906
106,1,6.4,479,780
107,1,32.2,986,8
108,2,0.6,944,171
109,2,2.9,31,417
110,2,25.7,841,305
111,0,3.9,965,741
112,0,28.1,876,331
113,2,30.9,868,770
114,1,4.9,951,261
115,0,35.1,878,973
116,0,8.9,190,904
117,1,1.0,448,336
118,2,10.3,304,134
119,0,8.2,633,761
120,2,38.2,433,600
121,2,36.8,124,632
122,2,6.1,526,140
123,1,10.9,831,198
124,2,17.4,170,296
125,2,14.6,713,914
126,1,20.1,583,21
127,0,2.0,303,531
128,0,0.1,852,485
129,1,24.1,258,271
130,1,10.8,337,306
131,2,4.1,790,811
132,0,20.7,888,273
133,2,2.8,507,850
134,0,38.1,79,490
135,0,33.8,833,267
136,0,4.7,265,584
137,2,26.4,673,207
138,0,17.6,532,532
139,0,5.5,328,507
140,2,33.9,212,124
141,1,27.0,537,404
142,1,29.1,657,279
143,2,3.6,375,962
144,2,5.6,257,886
145,1,32.3,954,761
146,1,31.9,203,917
147,1,36.7,242,989
148,1,26.5,130,439
149,0,37.2,593,668
150,0,4.2,862,979
151,0,30.6,742,663
152,1,0.5,398,494
153,0,6.8,215,311
154,1,7.5,711,821
155,2,29.6,635,957
156,2,18.4,483,548
157,0,30.0,229,807
158,1,2.6,971,435
159,2,27.1,935,297
160,2,18.2,383,708
161,2,1.7,538,4
162,1,29.1,533,461
163,1,5.9,896,318
164,2,18.9,957,444
165,1,10.3,349,639
166,1,7.2,218,314
167,2,32.2,370,758
168,2,24.4,38,284
169,2,16.5,660,885
170,0,25.3,708,988
171,1,9.7,423,69
172,1,39.1,878,753
173,0,28.0,577,182
174,0,14.6,964,801
175,2,22.8,520,304
176,0,19.7,981,660
177,1,11.7,921,682
178,2,19.3,416,799
179,1,9.9,112,976
180,2,10.6,1,631
181,2,23.5,986,101
182,1,33.2,913,991
183,0,13.3,387,476
184,0,15.6,437,565
185,2,11.4,952,398
186,2,28.5,62,406
187,2,2.3,552,175
188,2,25.4,573,72
189,2,25.7,676,95
190,2,13.7,978,129
191,0,19.7,895,104
192,0,21.7,927,842
193,1,30.3,286,42
194,2,30.3,346,995
195,1,26.8,575,52
196,2,14.5,539,767
197,2,16.8,620,271
198,2,30.1,583,264
199,1,27.7,411,718
200,2,9.8,13,461
201,1,3.5,432,32
202,0,14.7,554,420
203,2,5.8,993,859
204,0,26.4,15,913
205,2,35.0,781,627
206,0,18.3,354,912
207,0,31.8,63,74
208,0,30.7,536,865
209,2,35.2,669,808
210,0,1.3,161,405
211,0,33.2,214,479
212,1,36.8,305,78
213,2,25.1,951,610
214,2,12.0,492,88
215,0,19.5,279,296
216,0,7.6,636,184
217,2,19.6,61,255
218,0,24.9,883,517
219,2,29.0,875,582
220,0,21.8,496,78
221,1,13.1,282,415
222,1,22.7,390,774
223,0,6.7,822,310
224,2,17.3,914,705
225,0,28.7,638,761
226,1,16.3,125,663
227,1,4.7,305,914
228,2,15.0,908,653
229,0,10.7,569,352
230,2,16.9,704,511
231,1,6.3,913,445
232,0,29.1,357,184
233,2,20.3,404,454
